"species","ch"
"FOR","0000000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","0000000000000I000I00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","0000000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","0000000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000000R00R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","00000000000000U0000000U0000000000000000000000U0000000000000000000000000000000000000000000000000000000000"
"SCA","00000000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000000000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"MYI","000000000000000U00U00000U00U0000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000000000U000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","000000000000000R000000000000000R000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","000000000000000R0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000000000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000000I000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","0000000000000000I000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000000U000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"GAMO","0000000000000000I000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","0000000000000000R000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000000000I00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000000000I00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000000000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FUL","00000000000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"SCA","00000000000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000000000R00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"FOR","00000000000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
"CRA","00000000000000000U00000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
